id,ltable_id,ltable_city_ascii,ltable_country,rtable_id,rtable_city_ascii,rtable_country,city_ascii_sim,country_sim,is_matching
13636,320,Sanming,China,1352,Tianchang,China,0.444444444,1.0,0
5593,16,Shenzhen,China,212,Wenzhou,China,0.5,1.0,0
12980,518,Lianjiang,China,631,Lingcheng,China,0.444444444,1.0,0
2000,196,Taiyuan,China,661,Lianyuan,China,0.625,1.0,0
8066,203,Baojishi,China,1199,Shishi,China,0.5,1.0,0
12476,163,Yiyang,China,401,Pingliang,China,0.444444444,1.0,0
6210,128,Weinan,China,141,Ji'an,China,0.5,1.0,0
1823,68,Cangzhou,China,552,Gaozhou,China,0.625,1.0,0
3131,98,Qingdao,China,654,Yingtan,China,0.571428571,1.0,0
12048,56,Nanjing,China,378,Qinbaling,China,0.444444444,1.0,0
7356,661,Lianyuan,China,741,Sanya,China,0.5,1.0,0
12500,165,Changchun,China,576,Liangshi,China,0.444444444,1.0,0
